Surface,Critical Points,Devation
1A,1,0
1B,1,0.850666415254902
1C,1,1.68636509299799
2A,3,0
2B,3,0.847912367526541
2C,1,1.62342344400915
3A,24,0
3B,17,0.902794211552495
3C,13,1.83119863588751
